CRPName,CID,Party,DistIDRunFor,State,District,Name
"Aalders, Tim",N00034296,3,UTS1,UT,S1,Tim Aalders
"Aarestad, David",N00040877,D,CO06,CO,6,David Aarestad
"Abatecola, Bill",N00040419,R,AZ03,AZ,3,Bill Abatecola
"Abboud, Deedra",N00041028,D,AZS2,AZ,S2,Deedra Abboud
"Abdulahi, Jamal",N00040725,D,MN05,MN,5,Jamal Abdulahi
"Abel, Kevin",N00041944,D,GA06,GA,6,Kevin Abel
"Abentroth, Tiffany",N00043353,R,ND01,ND,1,Tiffany Abentroth
"Abraham, Ralph",N00036633,R,LA05,LA,5,Ralph Abraham
"Abrams, John",N00041156,D,NM01,NM,1,John Abrams
"Abroms, David",N00040686,R,GA06,GA,6,David Abroms
"Accavitti, Frank Jr",N00039682,D,MI10,MI,10,Frank Jr Accavitti
"Achille, Carl",N00042673,D,NY05,NY,5,Carl Achille
"Acker, Brandon W.",N00039865,D,NC07,NC,7,Brandon W. Acker
"Ackison, Melissa",N00041927,R,OHS1,OH,S1,Melissa Ackison
"Adadi, Elizabeth",N00043146,R,FL27,FL,27,Elizabeth Adadi
"Adair, Glenn",N00040972,L,TX06,TX,6,Glenn Adair
"Adams, Alma",N00035451,D,NC12,NC,12,Alma Adams
"Adams, Ann Marie",N00040808,D,CTS1,CT,S1,Ann Marie Adams
"Adams, David",N00037273,R,FL27,FL,27,David Adams
"Adams, Denise Darcel",N00040736,D,NC05,NC,5,Denise Darcel Adams
"Adams, Dion",N00041964,D,MI04,MI,4,Dion Adams
"Adams, Donald",N00041029,I,CAS2,CA,S2,Donald Adams
"Adams, John",N00032432,R,OH12,OH,12,John Adams
"Adams, Kimberly",N00041420,D,VA10,VA,10,Kimberly Adams
"Adams, Timothy",N00043410,3,MTS1,MT,S1,Timothy Adams
"Addis, Paul",N00041289,R,PAS2,PA,S2,Paul Addis
"Addis, Paul David",N00043235,R,PA05,PA,5,Paul David Addis
"Adeluola, Folasade",N00041292,D,VTS1,VT,S1,Folasade Adeluola
"Aderholt, Robert B",N00003028,R,AL04,AL,4,Robert B Aderholt
"Adia, Vanessa",N00040978,D,TX12,TX,12,Vanessa Adia
"Agnew, Eric",N00041539,I,WA05,WA,5,Eric Agnew
"Aguilar, Pete",N00033997,D,CA31,CA,31,Pete Aguilar
"Aguin, Bert",N00042925,L,TX08,TX,8,Bert Aguin
"Ahmad, Nina",N00042202,D,PA02,PA,2,Nina Ahmad
"Ahmed, Kaisar",N00039752,D,CA31,CA,31,Kaisar Ahmed
"Ahn, Jason",N00040650,D,CA34,CA,34,Jason Ahn
"Ahn, Poga",N00040776,D,WA08,WA,8,Poga Ahn
"Ahn, Robert Lee",N00040654,D,CA34,CA,34,Robert Lee Ahn
"Ainge, Tanner",N00041217,R,UT03,UT,3,Tanner Ainge
"Akinkugbe, Femi",N00043155,R,GA13,GA,13,Femi Akinkugbe
"Akins, Bill",N00041939,R,FL17,FL,17,Bill Akins
"Akzam, Johnny",N00040917,I,MN01,MN,1,Johnny Akzam
"Albert, Dan",N00043455,R,SC04,SC,4,Dan Albert
"Albertson, Ed",N00039147,D,OH12,OH,12,Ed Albertson
"Albro, Catherine",N00041821,D,MI03,MI,3,Catherine Albro
"Aldrich, Charles",N00030533,L,IA04,IA,4,Charles Aldrich
"Aldrich, Deborah",N00041219,R,UT03,UT,3,Deborah Aldrich
"Alemayhu, Ted",N00040862,3,CA39,CA,39,Ted Alemayhu
"Alexander, Sherrill Kenneth",N00041885,R,TX35,TX,35,Sherrill Kenneth Alexander
"Alexander, Sophia",N00042610,I,CA39,CA,39,Sophia Alexander
"Ali, Ali Chehem",N00043487,D,MNS2,MN,S2,Ali Chehem Ali
"Ali, Mark Anthony",N00042718,D,SC05,SC,5,Mark Anthony Ali
"Allen, Chad",N00042055,R,AZ08,AZ,8,Chad Allen
"Allen, Kathleen",N00040887,D,GA07,GA,7,Kathleen Allen
"Allen, Kathryn",N00040768,D,UT03,UT,3,Kathryn Allen
"Allen, Richard W",N00033720,R,GA12,GA,12,Richard W Allen
"Allen, Samuel",N00041451,D,FL11,FL,11,Samuel Allen
"Allen, Todd",N00041205,D,TX24,TX,24,Todd Allen
"Alli, Helen",N00040771,3,VA07,VA,7,Helen Alli
"Allison, Chaz Anthony",N00042721,R,TN05,TN,5,Chaz Anthony Allison
"Allison, Roger",N00042656,R,NC01,NC,1,Roger Allison
"Allman, Michael",N00041768,R,CA52,CA,52,Michael Allman
"Allocco, Patrick",N00042876,R,NJ11,NJ,11,Patrick Allocco
"Allred, Colin",N00040989,D,TX32,TX,32,Colin Allred
"Alm, Vance",N00036337,D,NV02,NV,2,Vance Alm
"Alspach, James Dean",N00042842,R,IN09,IN,9,James Dean Alspach
"Altman, Nathan J",N00043292,I,INS1,IN,S1,Nathan J Altman
"Amash, Justin",N00031938,R,MI03,MI,3,Justin Amash
"Amason, Tommy",N00041475,R,AL02,AL,2,Tommy Amason
"Amatul-Wadud, Tahirah",N00042135,D,MA01,MA,1,Tahirah Amatul-Wadud
"Amjad, Ayne",N00041540,R,WV03,WV,3,Ayne Amjad
"Amodei, Mark",N00031177,R,NV02,NV,2,Mark Amodei
"Amundson, Thor",N00007929,I,WAS1,WA,S1,Thor Amundson
"Andarza, Ivan",N00042264,R,TX21,TX,21,Ivan Andarza
"Anderson Kelliher, Margaret",N00043511,D,MN05,MN,5,Margaret Anderson Kelliher
"Anderson, Bob",N00042761,R,MNS1,MN,S1,Bob Anderson
"Anderson, Bryan Neil",N00041777,D,CT03,CT,3,Bryan Neil Anderson
"Anderson, Consuelo E",N00043625,R,HIS2,HI,S2,Consuelo E Anderson
"Anderson, Jeramey",N00041674,D,MS04,MS,4,Jeramey Anderson
"Anderson, John",N00032090,R,OH10,OH,10,John Anderson
"Anderson, Merrill",N00043486,R,MNS2,MN,S2,Merrill Anderson
"Anderson, Rae Hart",N00043589,R,MNS2,MN,S2,Rae Hart Anderson
"Anderson, Robert Jon",N00042640,I,LA03,LA,3,Robert Jon Anderson
"Andrei, Linda",N00042186,D,NY23,NY,23,Linda Andrei
"Andres, Ed",N00043345,D,MO06,MO,6,Ed Andres
"Andreski, Thad",N00042570,I,AZ04,AZ,4,Thad Andreski
"Andrews, Naomi",N00043441,D,NH01,NH,1,Naomi Andrews
"Angle, Sharron",N00027581,R,NV02,NV,2,Sharron Angle
"Angry, Travis",N00042052,R,AZ08,AZ,8,Travis Angry
"Anthony, Aaron",N00040955,D,PA17,PA,17,Aaron Anthony
"Anthony, Charles",N00043165,R,MD03,MD,3,Charles Anthony
"Anthony, Stavros",N00041380,R,NV04,NV,4,Stavros Anthony
"Anzalone, John",N00042180,D,NV04,NV,4,John Anzalone
"Apple, Winston",N00042653,D,MO06,MO,6,Winston Apple
"Applebaum, Robert",N00042951,L,TX36,TX,36,Robert Applebaum
"Applegate, Douglas L",N00037263,D,CA49,CA,49,Douglas L Applegate
"Aramayo, Vanessa",N00040610,D,CA34,CA,34,Vanessa Aramayo
"Arata, Larry",N00042898,D,PA05,PA,5,Larry Arata
"Araujo, Hector Mr.",N00043105,D,AZ09,AZ,9,Hector Mr. Araujo
"Arcangel, Daniel",N00043228,D,OR04,OR,4,Daniel Arcangel
"Archerd, Chuck",N00043176,R,NC11,NC,11,Chuck Archerd
"Arellano, Sergio",N00042048,R,AZ03,AZ,3,Sergio Arellano
"Arlett, Rob",N00043394,R,DES1,DE,S1,Rob Arlett
"Armstrong, Kelly",N00042868,R,ND01,ND,1,Kelly Armstrong
