CRPName,CID,Party,DistIDRunFor,State,District
"Aalders, Tim",N00034296,3,UTS1,UT,S1
"Aarestad, David",N00040877,D,CO06,CO,6
"Abatecola, Bill",N00040419,R,AZ03,AZ,3
"Abboud, Deedra",N00041028,D,AZS2,AZ,S2
"Abdulahi, Jamal",N00040725,D,MN05,MN,5
"Abel, Kevin",N00041944,D,GA06,GA,6
"Abentroth, Tiffany",N00043353,R,ND01,ND,1
"Abraham, Ralph",N00036633,R,LA05,LA,5
"Abrams, John",N00041156,D,NM01,NM,1
"Abroms, David",N00040686,R,GA06,GA,6
"Accavitti, Frank Jr",N00039682,D,MI10,MI,10
"Achille, Carl",N00042673,D,NY05,NY,5
"Acker, Brandon W.",N00039865,D,NC07,NC,7
"Ackison, Melissa",N00041927,R,OHS1,OH,S1
"Adadi, Elizabeth",N00043146,R,FL27,FL,27
"Adair, Glenn",N00040972,L,TX06,TX,6
"Adams, Alma",N00035451,D,NC12,NC,12
"Adams, Ann Marie",N00040808,D,CTS1,CT,S1
"Adams, David",N00037273,R,FL27,FL,27
"Adams, Denise Darcel",N00040736,D,NC05,NC,5
"Adams, Dion",N00041964,D,MI04,MI,4
"Adams, Donald",N00041029,I,CAS2,CA,S2
"Adams, John",N00032432,R,OH12,OH,12
"Adams, Kimberly",N00041420,D,VA10,VA,10
"Adams, Timothy",N00043410,3,MTS1,MT,S1
"Addis, Paul",N00041289,R,PAS2,PA,S2
"Addis, Paul David",N00043235,R,PA05,PA,5
"Adeluola, Folasade",N00041292,D,VTS1,VT,S1
"Aderholt, Robert B",N00003028,R,AL04,AL,4
"Adia, Vanessa",N00040978,D,TX12,TX,12
"Agnew, Eric",N00041539,I,WA05,WA,5
"Aguilar, Pete",N00033997,D,CA31,CA,31
"Aguin, Bert",N00042925,L,TX08,TX,8
"Ahmad, Nina",N00042202,D,PA02,PA,2
"Ahmed, Kaisar",N00039752,D,CA31,CA,31
"Ahn, Jason",N00040650,D,CA34,CA,34
"Ahn, Poga",N00040776,D,WA08,WA,8
"Ahn, Robert Lee",N00040654,D,CA34,CA,34
"Ainge, Tanner",N00041217,R,UT03,UT,3
"Akinkugbe, Femi",N00043155,R,GA13,GA,13
"Akins, Bill",N00041939,R,FL17,FL,17
"Akzam, Johnny",N00040917,I,MN01,MN,1
"Albert, Dan",N00043455,R,SC04,SC,4
"Albertson, Ed",N00039147,D,OH12,OH,12
"Albro, Catherine",N00041821,D,MI03,MI,3
"Aldrich, Charles",N00030533,L,IA04,IA,4
"Aldrich, Deborah",N00041219,R,UT03,UT,3
"Alemayhu, Ted",N00040862,3,CA39,CA,39
"Alexander, Sherrill Kenneth",N00041885,R,TX35,TX,35
"Alexander, Sophia",N00042610,I,CA39,CA,39
"Ali, Ali Chehem",N00043487,D,MNS2,MN,S2
"Ali, Mark Anthony",N00042718,D,SC05,SC,5
"Allen, Chad",N00042055,R,AZ08,AZ,8
"Allen, Kathleen",N00040887,D,GA07,GA,7
"Allen, Kathryn",N00040768,D,UT03,UT,3
"Allen, Richard W",N00033720,R,GA12,GA,12
"Allen, Samuel",N00041451,D,FL11,FL,11
"Allen, Todd",N00041205,D,TX24,TX,24
"Alli, Helen",N00040771,3,VA07,VA,7
"Allison, Chaz Anthony",N00042721,R,TN05,TN,5
"Allison, Roger",N00042656,R,NC01,NC,1
"Allman, Michael",N00041768,R,CA52,CA,52
"Allocco, Patrick",N00042876,R,NJ11,NJ,11
"Allred, Colin",N00040989,D,TX32,TX,32
"Alm, Vance",N00036337,D,NV02,NV,2
"Alspach, James Dean",N00042842,R,IN09,IN,9
"Altman, Nathan J",N00043292,I,INS1,IN,S1
"Amash, Justin",N00031938,R,MI03,MI,3
"Amason, Tommy",N00041475,R,AL02,AL,2
"Amatul-Wadud, Tahirah",N00042135,D,MA01,MA,1
"Amjad, Ayne",N00041540,R,WV03,WV,3
"Amodei, Mark",N00031177,R,NV02,NV,2
"Amundson, Thor",N00007929,I,WAS1,WA,S1
