State,Name,CID,FECCandID
UT,Tim Aalders,N00034296,S2UT00229
CO,David Aarestad,N00040877,H8CO06237
AZ,Bill Abatecola,N00040419,H6AZ03245
AZ,Deedra Abboud,N00041028,S8AZ00122
MN,Jamal Abdulahi,N00040725,H8MN05163
GA,Kevin Abel,N00041944,H8GA06377
ND,Tiffany Abentroth,N00043353,H8ND00120
LA,Ralph Abraham,N00036633,H4LA05221
NM,John Abrams,N00041156,H8NM01356
GA,David Abroms,N00040686,H8GA06302
MI,Frank Jr Accavitti,N00039682,H8MI10132
NY,Carl Achille,N00042673,H8NY05107
NC,Brandon W. Acker,N00039865,H8NC07093
OH,Melissa Ackison,N00041927,S8OH00094
FL,Elizabeth Adadi,N00043146,H8FL27219
TX,Glenn Adair,N00040972,H8TX06209
NC,Alma Adams,N00035451,H4NC12100
CT,Ann Marie Adams,N00040808,S8CT00105
FL,David Adams,N00037273,H6FL26017
NC,Denise Darcel Adams,N00040736,H8NC05063
MI,Dion Adams,N00041964,H8MI04085
CA,Donald Adams,N00041029,S8CA00325
OH,John Adams,N00032432,H0OH15099
VA,Kimberly Adams,N00041420,H8VA10148
MT,Timothy Adams,N00043410,S8MT00291
PA,Paul Addis,N00041289,S8PA00304
PA,Paul David Addis,N00043235,H8PA05303
VT,Folasade Adeluola,N00041292,S8VT00117
AL,Robert B Aderholt,N00003028,H6AL04098
TX,Vanessa Adia,N00040978,H8TX12074
WA,Eric Agnew,N00041539,H8WA05185
CA,Pete Aguilar,N00033997,H2CA31125
TX,Bert Aguin,N00042925,H8TX08114
PA,Nina Ahmad,N00042202,H8PA01237
CA,Kaisar Ahmed,N00039752,H6CA31159
CA,Jason Ahn,N00040650,H8CA34217
WA,Poga Ahn,N00040776,H8WA08114
CA,Robert Lee Ahn,N00040654,H8CA34258
UT,Tanner Ainge,N00041217,H8UT03196
GA,Femi Akinkugbe,N00043155,H8GA13043
FL,Bill Akins,N00041939,H8FL17038
MN,Johnny Akzam,N00040917,H8MN01246
SC,Dan Albert,N00043455,H8SC04425
OH,Ed Albertson,N00039147,H6OH12127
MI,Catherine Albro,N00041821,H8MI03079
IA,Charles Aldrich,N00030533,H8IA04155
UT,Deborah Aldrich,N00041219,H8UT03212
CA,Ted Alemayhu,N00040862,H8CA37301
TX,Sherrill Kenneth Alexander,N00041885,H8TX35018
CA,Sophia Alexander,N00042610,H8CA39273
